sep=;
"Version";"4";;;;
"Language";"en-US";;;;
"Local export date";"29.12.2024 10:15:48";;;;
"Export UTC date";"2024-12-29T09:15:48.340Z";;;;
"Time zone";"Europe/Berlin";;;;
"User name";"Name";;;
"Level";"System";;;
"System ID";"0815";;;
"System name";"0815_Name";;;
"";"";;;;
"Time period";"Heizung WP Verb [W]";"Total consumption [W]";"Base load [W]";"Total generation [W]";"PV generation [W]"
"10/13/2024 04.30 AM";"72";"163";"91";"0";"0"
"10/13/2024 04.45 AM";"112";"203";"91";"0";"0"
"10/13/2024 05.00 AM";"152";"242";"90";"0";"0"
"10/13/2024 05.15 AM";"530";"681";"151";"0";"0"
"10/13/2024 05.30 AM";"3,482";"3,682";"200";"0";"0"
"10/13/2024 05.45 AM";"3,916";"4,114";"198";"0";"0"
"10/13/2024 06.00 AM";"3,488";"3,686";"199";"0";"0"
"10/13/2024 06.15 AM";"76";"351";"275";"0";"0"
"10/13/2024 06.30 AM";"84";"432";"348";"0";"0"
"10/13/2024 06.45 AM";"145";"406";"261";"0";"0"
"10/13/2024 07.00 AM";"134";"349";"214";"0";"0"
"10/13/2024 07.15 AM";"72";"205";"133";"0";"0"
"10/13/2024 07.30 AM";"85";"215";"130";"0";"0"
"10/13/2024 07.45 AM";"148";"548";"400";"0";"0"
"10/13/2024 08.00 AM";"134";"1,862";"1,728";"0";"0"
"10/13/2024 08.15 AM";"72";"591";"519";"120";"120"
"10/13/2024 08.30 AM";"86";"387";"300";"387";"387"
"10/13/2024 08.45 AM";"148";"568";"420";"902";"902"
"10/13/2024 09.00 AM";"133";"1,052";"919";"1,132";"1,132"
"10/13/2024 09.15 AM";"72";"2,679";"2,607";"1,077";"1,077"
"10/13/2024 09.30 AM";"89";"1,196";"1,108";"1,362";"1,362"
"10/13/2024 09.45 AM";"149";"678";"529";"717";"717"
"10/13/2024 10.00 AM";"131";"983";"852";"642";"642"
"10/13/2024 10.15 AM";"71";"509";"437";"1,895";"1,895"
"10/13/2024 10.30 AM";"1,559";"1,930";"371";"2,469";"2,469"
"10/13/2024 10.45 AM";"3,897";"4,123";"226";"4,068";"4,068"
"10/13/2024 11.00 AM";"4,252";"4,584";"332";"4,485";"4,485"
"10/13/2024 11.15 AM";"4,139";"4,381";"242";"5,884";"5,884"
"10/13/2024 11.30 AM";"76";"3,221";"3,145";"5,827";"5,827"
"10/13/2024 11.45 AM";"75";"2,610";"2,535";"5,566";"5,566"
"10/13/2024 12.00 PM";"146";"3,550";"3,405";"5,879";"5,879"
"10/13/2024 12.15 PM";"144";"3,752";"3,608";"6,135";"6,135"
"10/13/2024 12.30 PM";"72";"5,948";"5,877";"5,756";"5,756"
"10/13/2024 12.45 PM";"76";"4,488";"4,412";"5,609";"5,609"
"10/13/2024 01.00 PM";"147";"5,112";"4,965";"6,162";"6,162"
"10/13/2024 01.15 PM";"168";"3,870";"3,702";"6,256";"6,256"
"10/13/2024 01.30 PM";"1,347";"2,812";"1,465";"5,595";"5,595"
"10/13/2024 01.45 PM";"139";"3,035";"2,896";"5,959";"5,959"
"10/13/2024 02.00 PM";"214";"3,055";"2,841";"5,794";"5,794"
"10/13/2024 02.15 PM";"207";"3,032";"2,824";"6,781";"6,781"
"10/13/2024 02.30 PM";"138";"2,889";"2,752";"6,554";"6,554"
"10/13/2024 02.45 PM";"147";"2,986";"2,839";"5,974";"5,974"
"10/13/2024 03.00 PM";"197";"3,152";"2,956";"4,609";"4,609"
"10/13/2024 03.15 PM";"2,219";"3,081";"862";"4,020";"4,020"
"10/13/2024 03.30 PM";"461";"2,653";"2,192";"4,425";"4,425"
"10/13/2024 03.45 PM";"86";"2,735";"2,650";"5,953";"5,953"
"10/13/2024 04.00 PM";"153";"2,798";"2,646";"5,181";"5,181"
"10/13/2024 04.15 PM";"2,722";"2,963";"241";"4,421";"4,421"
"10/13/2024 04.30 PM";"4,314";"4,531";"217";"6,067";"6,067"
"10/13/2024 04.45 PM";"2,087";"3,207";"1,120";"5,424";"5,424"
"10/13/2024 05.00 PM";"73";"2,675";"2,602";"4,484";"4,484"
"10/13/2024 05.15 PM";"111";"2,824";"2,713";"3,833";"3,833"
"10/13/2024 05.30 PM";"146";"657";"511";"1,075";"1,075"
"10/13/2024 05.45 PM";"105";"897";"792";"951";"951"
"10/13/2024 06.00 PM";"72";"1,068";"996";"203";"203"
"10/13/2024 06.15 PM";"114";"512";"398";"34";"34"
"10/13/2024 06.30 PM";"147";"373";"225";"2";"2"
"10/13/2024 06.45 PM";"105";"372";"267";"0";"0"
"10/13/2024 07.00 PM";"75";"646";"571";"0";"0"
"10/13/2024 07.15 PM";"120";"848";"729";"0";"0"
"10/13/2024 07.30 PM";"151";"992";"841";"0";"0"
"10/13/2024 07.45 PM";"694";"1,134";"439";"0";"0"
"10/13/2024 08.00 PM";"3,701";"4,112";"412";"0";"0"
"10/13/2024 08.15 PM";"4,017";"4,328";"311";"0";"0"
"10/13/2024 08.30 PM";"4,105";"4,340";"235";"0";"0"
"10/13/2024 08.45 PM";"255";"783";"528";"0";"0"
"10/13/2024 09.00 PM";"73";"423";"350";"0";"0"
"10/13/2024 09.15 PM";"141";"422";"281";"0";"0"
"10/13/2024 09.30 PM";"146";"477";"330";"0";"0"
"10/13/2024 09.45 PM";"74";"393";"319";"0";"0"
"10/13/2024 10.00 PM";"73";"419";"346";"0";"0"
"10/13/2024 10.15 PM";"145";"436";"291";"0";"0"
"10/13/2024 10.30 PM";"149";"254";"105";"0";"0"
"10/13/2024 10.45 PM";"74";"178";"104";"0";"0"
"10/13/2024 11.00 PM";"75";"174";"99";"0";"0"
"10/13/2024 11.15 PM";"148";"249";"101";"0";"0"
"10/13/2024 11.30 PM";"539";"729";"190";"0";"0"
"10/13/2024 11.45 PM";"3,601";"3,809";"208";"0";"0"
"10/14/2024 12.00 AM";"3,966";"4,176";"209";"0";"0"
"10/14/2024 12.15 AM";"4,050";"4,230";"180";"0";"0"
"10/14/2024 12.30 AM";"2,363";"2,484";"120";"0";"0"
"10/14/2024 12.45 AM";"74";"175";"101";"0";"0"
"10/14/2024 01.00 AM";"104";"184";"80";"0";"0"
"10/14/2024 01.15 AM";"145";"246";"101";"0";"0"
"10/14/2024 01.30 AM";"112";"293";"181";"0";"0"
"10/14/2024 01.45 AM";"72";"257";"185";"0";"0"
"10/14/2024 02.00 AM";"105";"286";"181";"0";"0"
"10/14/2024 02.15 AM";"146";"326";"180";"0";"0"
"10/14/2024 02.30 AM";"111";"252";"141";"0";"0"
"10/14/2024 02.45 AM";"73";"169";"96";"0";"0"
"10/14/2024 03.00 AM";"108";"205";"96";"0";"0"
"10/14/2024 03.15 AM";"148";"248";"99";"0";"0"
"10/14/2024 03.30 AM";"110";"208";"98";"0";"0"
"10/14/2024 03.45 AM";"1,563";"1,689";"125";"0";"0"
"10/14/2024 04.00 AM";"4,943";"5,154";"211";"0";"0"
