sep=;
"Version";"4";;;;;
"Language";"en-US";;;;;
"Local export date";"29.12.2024 10:16:40";;;;;
"Export UTC date";"2024-12-29T09:16:40.489Z";;;;;
"Time zone";"Europe/Berlin";;;;;
"User name";"Name";;;
"Level";"System";;;
"System ID";"0815";;;
"System name";"0815_Name";;;
"";"";;;;;
"Time period";"Bad Heizkörper [W]";"Heizung WP Verb [W]";"Total consumption [W]";"Base load [W]";"Total generation [W]";"PV generation [W]"
"11/17/2024 04.30 AM";"0";"5,995";"6,107";"113";"0";"0"
"11/17/2024 04.45 AM";"0";"2,451";"2,549";"98";"0";"0"
"11/17/2024 05.00 AM";"0";"88";"175";"87";"0";"0"
"11/17/2024 05.15 AM";"0";"130";"211";"81";"0";"0"
"11/17/2024 05.30 AM";"0";"158";"273";"115";"0";"0"
"11/17/2024 05.45 AM";"0";"115";"288";"173";"0";"0"
"11/17/2024 06.00 AM";"0";"3,675";"3,851";"176";"0";"0"
"11/17/2024 06.15 AM";"0";"5,347";"5,528";"181";"0";"0"
"11/17/2024 06.30 AM";"0";"90";"252";"162";"0";"0"
"11/17/2024 06.45 AM";"0";"95";"254";"159";"0";"0"
"11/17/2024 07.00 AM";"0";"156";"316";"161";"0";"0"
"11/17/2024 07.15 AM";"0";"148";"259";"111";"0";"0"
"11/17/2024 07.30 AM";"0";"2,703";"2,873";"170";"0";"0"
"11/17/2024 07.45 AM";"0";"5,940";"6,171";"232";"6";"6"
"11/17/2024 08.00 AM";"0";"666";"883";"217";"198";"198"
"11/17/2024 08.15 AM";"0";"87";"297";"210";"405";"405"
"11/17/2024 08.30 AM";"0";"153";"395";"242";"720";"720"
"11/17/2024 08.45 AM";"0";"161";"416";"255";"875";"875"
"11/17/2024 09.00 AM";"0";"2,853";"3,191";"338";"479";"479"
"11/17/2024 09.15 AM";"0";"5,544";"5,961";"417";"278";"278"
"11/17/2024 09.30 AM";"0";"93";"484";"392";"918";"918"
"11/17/2024 09.45 AM";"298";"95";"737";"344";"1,234";"1,234"
"11/17/2024 10.00 AM";"255";"159";"757";"342";"1,063";"1,063"
"11/17/2024 10.15 AM";"328";"153";"1,011";"529";"1,196";"1,196"
